_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome
HCP_S1200_DataDictionary_Oct_30_2023.csv,398,FS_R_Insula_Thck,FreeSurfer > Surface Thickness.FS_R_Insula_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Insula_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Insula\"">Insula</a> | fullDisplayName: Right Insula Average Thickness","Neurolex definition: <a href=\""  Right Insula Average Thickness",determine,Right Insula Average,0.193,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,399,FS_L_Bankssts_Area,FreeSurfer > Surface Area.FS_L_Bankssts_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Bankssts_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Banks_of_superior_temporal_sulcus\"">Banks of the Superior Temporal Sulcus</a> | fullDisplayName: Left bankssts Surface Area","Neurolex definition: <a href=\""  of the Superior Temporal Sulcus</a> Left bankssts Surface Area",determine,Superior Temporal Sulcus,0.181,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,400,FS_L_Caudalanteriorcingulate_Area,FreeSurfer > Surface Area.FS_L_Caudalanteriorcingulate_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Caudalanteriorcingulate_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_anterior_cingulate_cortex\"">Caudal Anterior Cingulate Cortex</a> | fullDisplayName: Left caudalanteriorcingulate Surface Area","Neurolex definition: <a href=\""  Anterior Cingulate Cortex</a> Left caudalanteriorcingulate Surface Area",determine,Cortex Left Caudalanteriorcingulate,0.256,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,401,FS_L_Caudalmiddlefrontal_Area,FreeSurfer > Surface Area.FS_L_Caudalmiddlefrontal_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Caudalmiddlefrontal_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_middle_frontal_gyrus\"">Caudal Middle Frontal Gyrus</a> | fullDisplayName: Left caudalmiddlefrontal Surface Area","Neurolex definition: <a href=\""  Middle Frontal Gyrus</a> Left caudalmiddlefrontal Surface Area",determine,Gyrus Right Caudalmiddlefrontal,0.259,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,402,FS_L_Cuneus_Area,FreeSurfer > Surface Area.FS_L_Cuneus_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Cuneus_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Cuneus_cortex\"">Cuneus Cortex</a> | fullDisplayName: Left cuneus Surface Area","Neurolex definition: <a href=\""  Cortex</a> Left cuneus Surface Area",determine,Cortex Right Entorhinal,0.24,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,403,FS_L_Entorhinal_Area,FreeSurfer > Surface Area.FS_L_Entorhinal_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Entorhinal_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Entorhinal_cortex\"">Entorhinal Cortex</a> | fullDisplayName: Left entorhinal Surface Area","Neurolex definition: <a href=\""  Cortex</a> Left entorhinal Surface Area",determine,Cortex Right Entorhinal,0.24,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,404,FS_L_Fusiform_Area,FreeSurfer > Surface Area.FS_L_Fusiform_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Fusiform_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Fusiform_gyrus\"">Fusiform Gyrus</a> | fullDisplayName: Left fusiform Surface Area","Neurolex definition: <a href=\""  Gyrus</a> Left fusiform Surface Area",determine,Gyrus Right Precentral,0.21,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,405,FS_L_Inferiorparietal_Area,FreeSurfer > Surface Area.FS_L_Inferiorparietal_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Inferiorparietal_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_parietal_cortex\"">Inferior Parietal Cortex </a> | fullDisplayName: Left inferiorparietal Surface Area","Neurolex definition: <a href=\""  Parietal Cortex </a> Left inferiorparietal Surface Area",determine,Cortex Right Inferiorparietal,0.246,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,406,FS_L_Inferiortemporal_Area,FreeSurfer > Surface Area.FS_L_Inferiortemporal_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Inferiortemporal_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_temporal_gyrus\"">Inferior Temporal Gyrus</a> | fullDisplayName: Left inferiortemporal Surface Area","Neurolex definition: <a href=\""  Temporal Gyrus</a> Left inferiortemporal Surface Area",determine,Gyrus Right Superiortemporal,0.218,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,407,FS_L_Isthmuscingulate_Area,FreeSurfer > Surface Area.FS_L_Isthmuscingulate_Area,FreeSurfer > Surface Area,"category: FreeSurfer | assessment: Surface Area | columnHeader: FS_L_Isthmuscingulate_Area | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Isthmus_of_cingulate_gyrus\"">Isthmus Cingulate Gyrus</a> | fullDisplayName: Left isthmuscingulate Surface Area","Neurolex definition: <a href=\""  Cingulate Gyrus</a> Left isthmuscingulate Surface Area",determine,Gyrus Right Posteriorcingulate,0.231,keybert,,No Condition,FreeSurfer,Surface Area,Other,Other
